GutenbergID,Author,Movement,avg_sentence_length,var_sentence_length,max_sentence_length,median_sentence_length,avg_syllables_per_word,exclamation_marks,question_marks,semicolons,colons,ellipses,dashes,parentheses,noun_freq,proper_noun_freq,adj_freq,adv_freq,verb_freq,det_freq,conj_freq,intj_freq,past_tense_ratio,present_tense_ratio,temporal_adverbs,locative_preps,dialogue_markers,conditional_verbs,first_person_pronouns,third_person_pronouns,flesch_reading_ease,gunning_fog,smog_index,sentence_fragments,complex_sentences,renaissance_markers,romanticism/gothic_markers,victorian_markers,modern_markers,romanticism_words,realism_words,naturalism_words,gothicism_words,transcendentalism_words,modernism_words,renaissance_words,capitalized_words,avg_paragraph_length,var_paragraph_length,type_token_ratio,mattr,count_hellenic,count_fauna,tfidf_action,tfidf_afternoon,tfidf_ain,tfidf_ancient,tfidf_author,tfidf_big,tfidf_bit,tfidf_boys,tfidf_brown,tfidf_chair,tfidf_class,tfidf_coat,tfidf_couldn,tfidf_countenance,tfidf_didn,tfidf_divine,tfidf_don know,tfidf_em,tfidf_evil,tfidf_exclaimed,tfidf_existence,tfidf_faith,tfidf_feelings,tfidf_fortune,tfidf_genius,tfidf_hat,tfidf_hath,tfidf_honour,tfidf_imagination,tfidf_isn,tfidf_laughed,tfidf_legs,tfidf_listened,tfidf_ll,tfidf_lot,tfidf_minute,tfidf_minutes,tfidf_mrs,tfidf_nay,tfidf_nice,tfidf_noble,tfidf_outside,tfidf_pale,tfidf_parts,tfidf_persons,tfidf_philosophy,tfidf_pocket,tfidf_prince,tfidf_pure,tfidf_religion,tfidf_shook,tfidf_smiled,tfidf_sorry,tfidf_spot,tfidf_started,tfidf_stopped,tfidf_summer,tfidf_tall,tfidf_tea,tfidf_thee,tfidf_thou,tfidf_thy,tfidf_trying,tfidf_vain,tfidf_ve,tfidf_virtue,tfidf_watched,tfidf_windows,tfidf_wise,tfidf_works,tfidf_worthy,tfidf_wouldn,tfidf_yellow,topic_5,topic_11,topic_14,romanticism_term_freq,gothicism_term_freq,transcendentalism_term_freq,renaissance_term_freq
3664,Guy de Maupassant,Naturalism,14.863335340156532,145.57494107297745,111,12.0,1.4098922075005613,9.593190998268897,12.766878245816503,7.357184073860357,19.186381996537794,0.0,5.049047893825735,0.0,13.163014973352508,2.5167075543524238,5.583283986126386,4.145165383639286,10.993147787835209,7.54166314186617,0.0,0.3426106082395736,48.17237398999615,27.12581762216237,0.680991455883597,4.597749767363167,5.515607816597581,0.5921664833770409,1.924541070975383,5.583283986126386,69.32663348687443,10.228972719492209,10.324661430756983,14.388922335942203,10.2950030102348,7.2099805573558005,16.202203499675957,10.085871678548283,2.1062864549578744,4.334089436163318,2.0252754374594946,1.2961762799740766,4.617627997407648,1.093648736228127,2.9569021386908623,13.650356448476993,3.6291345909821504,32.5270092226614,852.7499292634194,0.17999101729171346,0.44791176470588234,0.0,0.0,0.013169874726208437,0.042303383388426416,0.0,0.0,0.016315108302623876,0.1329323565419513,0.04413862437193609,0.0,0.014430466356130468,0.09537763027271953,0.029655916501949736,0.0,0.0,0.04379704693699389,0.0,0.03223503029073024,0.1088200667475826,0.0,0.0,0.0753095273024583,0.028094420012193397,0.0,0.014430466356130468,0.07931723474871975,0.015923503935156378,0.0839613748907858,0.0,0.0,0.0,0.10967842313685136,0.02673986049199393,0.0715977849171386,0.08113478868391472,0.09908723012173799,0.029425749581290725,0.05597424992719053,0.054501503012982594,0.0,0.0,0.0,0.05554826994735533,0.013522464780652452,0.11808395752687197,0.0,0.05408985912260981,0.05785154191544037,0.05885149916258145,0.4438856633650508,0.01357379657539972,0.0,0.05640451118456855,0.05533685897572857,0.013993562481797632,0.06838602355083216,0.052878156499146504,0.07901924835725062,0.013420533927448065,0.13169874726208436,0.0,0.0,0.0,0.034288230942379205,0.04150264423179643,0.0,0.0,0.0,0.0,0.02714759315079944,0.013677204710166433,0.014430466356130468,0.01378162172071166,0.0,0.028860932712260937,0.2320518046617508,0.0,0.0,17.203440688137626,33.286657331466294,20.764152830566115,22.924584916983395
4382,Frank Norris,Naturalism,15.792633015006821,180.78646687350755,102,12.0,1.428604027611387,5.0669292691026095,10.53463260468791,7.1996198371712214,3.048745577171909,1.0878153233101648,17.447985251514353,0.37214734744821426,14.272288436071594,3.682344397453971,4.993805801187577,4.400017087445,9.974796018625314,8.261779657396728,0.0,0.4357298474945534,56.48822269807281,20.428265524625267,0.7262164124909223,4.519629202443505,38.58345080951771,0.5553419624930582,1.3200051262335,4.652056901191849,66.32397033358593,10.958070613451666,10.84542913036774,14.2337426102774,12.096407457935426,6.912924513117656,18.421052631578945,8.450024142926122,4.740061162079511,2.0923869306293255,2.1084822147110898,0.6679542893932078,3.170770964107516,0.9496217608240786,3.339771446966039,8.627072267825527,3.8574907087017816,43.145833333333336,2373.284982638889,0.20058189286325517,0.44594117647058823,0.0,0.0,0.0061045432323182216,0.03268100344367371,0.01135216812450174,0.006561319381476407,0.007562432144864817,0.054770879035479704,0.03409879824158247,0.07357742447923846,0.026755427083359436,0.06315678552108354,0.006873103508718459,0.07217451319624048,0.06748959127319329,0.0,0.14424726382757114,0.0,0.1585276999637541,0.049133788392544515,0.006081628959626141,0.10472315221991356,0.026044834156249586,0.006315678552108355,0.0,0.0245102553444911,0.0,0.038918049983095,0.0,0.00788054951849139,0.006388102191899973,0.15251549986857565,0.012394547237013063,0.013274895394262437,0.02507190769148914,0.2755754140220091,0.06819759648316494,0.038918049983095,0.08210382117740862,0.5108377877008619,0.0,0.0,0.02574791502756674,0.08775167692021199,0.012163257919252282,0.02507190769148914,0.0,0.0,0.013639519296632987,0.00791351263789281,0.03145885201790232,0.007470843120977148,0.07189820757608216,0.019237440844015057,0.0194590249915475,0.03169851239523323,0.018382691508368326,0.03662725939390933,0.0186621888053038,0.03052271616159111,0.015565908562982407,0.008547685201300025,0.0,0.0,0.025649921125353407,0.0,0.2455426179202272,0.0,0.031103648008839666,0.07550124484296557,0.0,0.006688856770839859,0.0,0.12437015866651953,0.04013314062503916,0.07071095705032349,0.0,0.0,14.147784350932023,30.221006808795625,15.989507757562228,18.612568367005245
3804,Guy de Maupassant,Naturalism,22.13418336369156,305.0512115826498,129,18.0,1.3677701778385774,9.12899792305331,13.354647616693708,14.71004468823874,12.796542940175165,0.0,10.72358271310629,0.239187718507947,13.741805345436209,2.651706169104051,5.8245083207261725,4.39569675575727,10.085728693898135,7.568498907379391,0.0,0.3067742477727349,54.37499999999999,21.958333333333332,1.016977643301395,5.0890906034627665,0.5463103042528156,0.8488821650697597,1.2439065389141033,5.656412842494537,63.27267659395973,13.400307725260603,11.692466394123283,9.47176684881603,25.561627200971465,8.137016864623662,11.833672375702694,12.489883413172343,0.0,4.090382133560819,2.231117527396811,1.1155587636984055,3.3466762910952164,1.1593061661963822,2.9529496686134262,11.505566856967869,3.1223735081526307,33.689756816507,1812.4218036991522,0.1812859097127223,0.4500285714285714,0.0,0.0,0.01026310716573571,0.021977640446577913,0.0,0.02206210076593681,0.0,0.05755133714660506,0.011465546471140738,0.04498187742660437,0.04498187742660437,0.1380349492815616,0.03466568841599509,0.02206210076593681,0.0,0.011376817562853489,0.0,0.01256016390596855,0.036343723731981345,0.0,0.020449166261758786,0.26996345225155505,0.03284040843272415,0.0,0.03373640806995329,0.30905429901165316,0.0,0.06542997607804338,0.0,0.039746916921636746,0.032219500240762464,0.05698061846062226,0.07293305428942957,0.10043135249789827,0.010537875877630156,0.0,0.0,0.043619984052028916,0.1380349492815616,0.0,0.041108957434762707,0.04865170032845772,0.0,0.031613627632890474,0.08179666504703514,0.010537875877630156,0.010537875877630156,0.015027644193650092,0.022931092942281475,0.013304390708566625,0.010577878058474927,0.0,0.0769217415630227,0.10780818452906632,0.010904996013007229,0.05329231317166658,0.08241447973644085,0.04105242866294284,0.0,0.03078932149720713,0.11776403530189909,0.0,0.0,0.0,0.07546572917034641,0.02052621433147142,0.0,0.0,0.07320909769269439,0.021155756116949854,0.0,0.011245469356651093,0.06443900048152493,0.013939609872381529,0.06747281613990658,0.10354536771774292,0.0,0.0,15.470713267145586,31.21048241719805,21.013264455027308,20.421341512632175
143,Thomas Hardy,Naturalism,23.94836956521739,283.589725602552,115,20.0,1.402412464399397,9.578147089026114,9.501399115556353,14.72026131150007,1.3507643330677852,0.6293333824520363,18.404164038048574,1.2279675755161683,15.624865931614398,2.3167017032047705,5.3756059891029215,4.63769359474881,10.004719207173194,8.743403835428374,0.0,0.3046033720880347,58.74785591766724,21.355060034305318,0.8751984212106911,4.629113218070273,0.6778497576043588,0.6177871208546055,1.6045304388862671,4.14003174739371,59.268986952188115,14.154474206414651,12.491784736611525,4.3478260869565215,28.940217391304344,8.069204272339983,19.75653562163241,10.394523352971289,0.0,2.8285597771858435,2.14311124222363,0.6594188437611168,3.227681708935993,1.3622205061907282,3.505331748414358,9.90863578388415,2.8529752456132824,47.196150696150696,1919.8644733073477,0.20081532361646284,0.4593823529411764,0.0,0.0,0.01906795443666521,0.013610843834242057,0.03545926637219668,0.04098945138042349,0.0,0.03564178166706811,0.014201320917254404,0.041786194735922676,0.02785746315728178,0.07233398302089537,0.02146860453848541,0.020494725690211744,0.017567359292521918,0.028182841111639385,0.15018870097253997,0.007778561573621548,0.06002085004205368,0.14324120290974462,0.0,0.036345540234901656,0.013558800718910764,0.02630326655305286,0.034821828946602226,0.019139860852549997,0.015369857538249326,0.0472745646534723,0.0,0.008205143471884504,0.0,0.05293249982848951,0.006452534693812227,0.020732517642697394,0.006526150214518756,0.36207348719374083,0.02840264183450881,0.054028073889682636,0.06575816638263215,0.22227771370491436,0.008486315917202747,0.007532549923302721,0.0,0.08483995278874383,0.01899638015321534,0.03263075107259378,0.04568305150163129,0.0,0.05680528366901762,0.0,0.006550923730940171,0.0,0.027221687668484113,0.04005963335086096,0.040521055417261975,0.07920996111387575,0.05103962894013333,0.012711969624443474,0.05181565449215126,0.012711969624443474,0.016207056719815694,0.06229830582908115,0.0,0.008274014735843147,0.006676605558476827,0.006355984812221737,0.2634034967730969,0.0075626681909827485,0.02590782724607563,0.05895831357846154,0.01320166018564596,0.006964365789320445,0.019953670061183728,0.05179714907369491,0.02785746315728178,0.3803331255912781,0.0,0.022621681913733482,15.198147895955332,31.21340051749966,20.78169685414681,22.0345907667166
2781,Rudyard Kipling,Naturalism,24.496598639455783,560.7686959137396,208,18.0,1.3021059487624838,15.163193874069675,11.056495533175804,15.731813644347287,0.9476996171293547,0.06317997447529031,13.520514537712128,12.635994895058062,10.261121100773982,6.2700336173872255,4.487530294738487,4.550074270971777,10.816198889844422,6.3794855757954805,0.0,0.32444687671018685,48.60860137332851,23.129743404409105,1.0906105855679775,3.3343757329372212,1.3329684934719725,0.5785317801579235,2.388398092408725,4.245172386834493,68.65586766322446,11.957929738865985,10.77492773145126,12.15986394557823,27.721088435374146,3.054919114073457,12.84454627508158,7.915017704644866,0.0,4.339373741581615,1.1455946677775464,1.284454627508158,1.6316045268346873,0.24300492952857045,2.638339234881622,8.366312573769354,8.982878586506137,40.801699716713884,1424.1788073092637,0.11946374294398611,0.3328,0.0,0.0,0.0,0.02653502025719251,0.0,0.0066592486596020115,0.0,0.15981649948588417,0.10382319314863274,0.0067886895753369505,0.020366068726010853,0.0,0.0,0.0,0.1284316682628388,0.0,0.2114669398334272,0.0,0.0658201762692019,0.12965451736530947,0.0,0.0,0.006608389900749468,0.0,0.0067886895753369505,0.0,0.0,0.03949891128846909,0.0,0.0,0.0,0.1203936460054311,0.1509544662144714,0.22230493588953626,0.0,0.4794659034913449,0.020764638629726544,0.07899782257693817,0.019229824744398154,0.0,0.016544496984484718,0.11013811886168888,0.01959915666339906,0.05089222395104492,0.0,0.019084583981641846,0.0,0.0,0.0,0.0,0.0063856765980410115,0.0,0.039802530385788765,0.07159006909899852,0.03291575940705757,0.0064343240713222605,0.012438038415726242,0.024782620063924,0.0,0.06815220517579099,0.03159646702343682,0.0,0.0,0.0,0.006508188099908957,0.0,0.3473800133179527,0.007371899791447707,0.0,0.0,0.15442377771173424,0.0,0.0,0.08415094223606677,0.0950416540547173,0.0,0.0,0.0,17.147157956739424,25.458948264013877,16.296344775679835,13.253051474197454
2662,Thomas Hardy,Naturalism,28.203025477707005,512.1458825662298,205,23.0,1.4153618402323065,16.19132182018723,9.247794815704662,18.495589631409324,2.9801863691805717,0.0,13.149688309374069,2.580779948568743,15.819426615318784,3.983739837398374,5.5198973042362,4.522892597347026,10.042789901583227,8.84467265725289,0.0,0.3508771929824561,51.51256923732424,28.973157221985513,0.9542148053059477,4.856653829696192,0.7488232777064613,0.43645699614890887,1.3906718014548565,3.0038510911424905,54.28303365756656,15.603939688424186,13.07476751878107,7.32484076433121,37.101910828025474,9.537632179141614,17.140092611790724,9.572188817471837,0.0,2.8509226622434167,2.2807381297947336,0.3455663833022323,2.5053562789411847,1.3649872140438177,4.025848365471007,9.122952519178934,4.150620453572957,36.910714285714285,1792.673150510204,0.2036098616409497,0.47291176470588236,0.0,0.0,0.012679530031467547,0.013576110409990263,0.0,0.03634208947986511,0.0,0.004740110351361171,0.06610370973900283,0.050941685441945675,0.050941685441945675,0.08308112082191568,0.023793132161745164,0.04542761184983139,0.07009011704836067,0.03279607508553551,0.1498054353989845,0.0,0.0698456304273702,0.18369728564337162,0.004210645203044878,0.033835937600369174,0.018032266804197346,0.013118071708723531,0.04167956081613736,0.012727345310379333,0.0,0.05838104999756223,0.007195550965915624,0.0,0.017691333706446707,0.04106466134159639,0.004290712341537722,0.013786406976777271,0.008679328232056631,0.24076634280410636,0.004721693552785916,0.04939934999793728,0.06996304911319216,0.24282576889858706,0.0,0.04507996594755557,0.0,0.04773630527631147,0.004210645203044878,0.017358656464113262,0.017358656464113262,0.0,0.03777354842228733,0.0,0.0,0.005172474341804804,0.013576110409990263,0.03107798200258491,0.01347254999943744,0.013167970954497595,0.012727345310379333,0.0,0.030148665434389686,0.012679530031467547,0.053885660122371386,0.11244259205051517,0.06439601648112407,0.02750966777070713,0.03995740543189489,0.004226510010489183,0.19060899620631577,0.0,0.01722780881965125,0.03484910117913461,0.0,0.004631062312904151,0.013268500279835031,0.017221656088118313,0.009262124625808303,0.08714256435632706,0.0,0.0,16.71309192200557,30.938150742353354,25.691646158422806,19.038861995294372
